,name,artist,length,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,lyrics
10,Angels,Within Temptation,242440,0.493,0.286,0.493,0.865,0,0.152,-4.71,0.0357,90.979,"Sparkling angel, I believe
You are my saviour in my time of need
Blinded by faith, I couldn't hear
All the whispers, the warning's so clear
I see the angels
I'll lead them to your door
There's no escape now
No mercy no more
No remorse 'cause I still remember
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wish they'd turn into real
You broke the promise
And made me realise
It was all just a lie (just a lie)
Sparkling angel, I couldn't see
Your dark intentions, your feelings for me
Fallen angel, tell me why
What is the reason? The thorn in your eye
I see the angels
I'll lead them to your door
There's no escape now
No mercy no more
No remorse 'cause I still remember
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wish they'd turn into real
You broke the promise
And made me realise
It was all just a lie
Could have been forever
Now we have reached the end
This world may have failed you
It doesn't give the reason why
You could have chosen a different path in life
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wished they'd turn into real
You broke a promise
And made me realise
It was all just a lie
Could have been forever
Now we have reached the end"
11,Slow Dancing in a Burning Room,John Mayer,242000,0.667,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,"It's not a silly little moment
It's not the storm before the calm
This is the deep and dying breath of
This love that we've been working on
Can't seem to hold you like I want to
So I can feel you in my arms
Nobody's gonna come and save you
We pulled too many false alarms
We're going down
And you can see it too
We're going down
And you know that we're doomed
My dear
We're slow dancing in a burning room
I was the one you always dreamed of
You were the one I tried to draw
How dare you say it's nothing to me?
Baby, you're the only light I ever saw
I'll make the most of all the sadness
You'll be a bitch because you can
You try to hit me just to hurt me
So you leave me feeling dirty
'Cause you can't understand
We're going down
And you can see it too
We're going down
And you know that we're doomed
My dear
We're slow dancing in a burning room
Go cry about it, why don't you?
Go cry about it, why don't you?
Go cry about it, why don't you?
My dear, we're slow dancing in a burning room
Burning room
Burning room
Don't you think we oughta know by now?
Don't you think we should have learned somehow?
Dont you think we oughta know by now?
Dont you think we should have learned somehow?
Don't you think we oughta know by now?
Don't you think we should have learned somehow?"
12,One Woman Army,Porcelain Black,216756,0.592,0.0661,0.592,0.842,0,0.313,-6.421,0.11,121.077,"I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
I pull up in a matte black supa car
Like Whitney, yeah, no body guard
Stylin' on 'em, gettin' him hard
I got it, I bring all the boys to the yard
You see me at the club in Hollywood
You know I bring that Detroit hood
You like it, and u feelin' good
You know that you want it
You know that you would
Let's march tonight
The music is still playin'
So get and up fight
You know that you want it
You know that you would
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
I hit cha with that kung-fu Jackie Chan
Boom, boom, boom, pow, I'm super fast
High heels, big deal, I'll kick your ass
They gunnin', they runnin' and that makes me mad
If you wanna rumble all you gotta do is ask
I'm a rude bitch, boy can you handle that?
I love to play but I don't really need a man
No daddy, no VISA, I got my own cash
Let's march tonight
The music is still playin'
So get up and fight
No daddy, no VISA, I got my own cash
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
One, two, three, hut
March if you don't give a fuck
One, two, three, hut
(Oh la la, oh la la)
One, two, three, hut
March if you don't give a fuck
One, two, three, hut
(Oh la la, oh la la)
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)
I'm on the battlefield, like, oh my God (Oh la la)
Knockin' soldiers down like House of Cards (Oh la la)
I'm a one woman army (Oh la la)
Yes, I'm a one woman army
(Oh la la, oh la la, oh la la)"
13,Oops!...I Did It Again,Children Of Bodom,200880,0.624,0.00185,0.624,0.857,0.00358,0.245,-4.444,0.0585,104.977,"Yeah, yeah, yeah, yeah, yeah, yeah
Oh, yeah, yeah, yeah, yeah, yeah, yeah
I think I did it again, I made you believe
We're more than just friends, oh baby
It might seem like a crush
But it doesn't mean that I'm serious
'Cause to lose all my senses
That is just so typically me, oh baby, baby
Oops, I did it again
I played with your heart, got lost in the game
Oh baby, baby, oops, you think I'm in love
That I'm sent from above, I'm not that innocent
You see my problem is this, I'm dreaming away
Wishing that heroes, they truly exist, I cry watching the days
Can't you see, I'm a fool in so many ways
But to lose all my senses that is just so typically me
Oops, I did it again
I played with your heart, got lost in the game
Oh baby, baby, oops, you think I'm in love
That I'm sent from above, I'm not that innocent
Jätkät hei, mä lähen meneen ny ihan oikeesti
Hei Ankku hei, ennen ku lähet ni kato mitä mä toin sulle
Ei jumalauta, hyvännäkönen, siis eiks tää oo siis
On on, sixpack, kyllä
Eihän sun ois tarvinnu hyvä mies
Sitä paitsi meill' on noita väkeviä
Nii nii, mut aamuks
Oops, I did it again
I played with your heart, got lost in the game
Oh baby, baby, oops, you think I'm in love
That I'm sent from above, I'm not that innocent"
14,Weight in Gold,Gallant,203813,0.38,0.0259,0.38,0.438,1.29E-05,0.154,-5.526,0.0962,179.404,"Black dust in orbit
Cascades down like a parachute
Bricks on my shoulders
This gravity hurts when you know the truth
I'm pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own
Pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own
We dreamt like martyrs
I never thought I was bold enough
You pushed me further
And I take the blame for the both of us
I'm pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own
Pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own
Oh, Universe, hold me up
Tried your best, is it ever enough
When it's already dragging me down?
I'm pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own
Pulling my weight in gold
Call me anxious, call me broke
But I can't lift this on my own"
15,Talking to Myself,Gallant,237560,0.628,0.0101,0.628,0.485,3.79E-06,0.113,-6.02,0.0733,119.879,"I've been talking to myself lately
I'm asking for advice, oh
I've been slowly loosening my grip on this reality
Tongue-tied, the dominoes break
So won't you lend me your faith?
I've been talking to myself lately, ooh
I've been talking to myself, ooh
Earthbound, and scatter-brained
Can I thrive on pocket change?
I've been talking to myself lately, ooh
I've been whispering to ghosts lately
I'm begging for more time, oh
Before I'm buried deeper in the trenches of insanity
Oh, feed me a piece of my mind
I've been talking to myself lately, ooh
I've been talking to myself, ooh
Earthbound and scatter-brained
Can I thrive on pocket change?
I've been talking to myself lately, ooh
Oh, how'd my own molecules forsake me?
Atoms chained behind my back
I should be bold, I should be bold in my logic and reasoning
But I just calculate my intentions
I hope that won't follow me to my old age
I'm a moss-covered stone on a foothill
And I'm tumbling, tumbling
I've been talking to myself lately, ooh
I've been talking to myself, ooh
Earthbound and scatter-brained
Can I thrive on pocket change?
I've been talking to myself lately, ooh"
16,Downfall,Children Of Bodom,280546,0.439,0.00116,0.439,0.951,0.899,0.0926,-3.69,0.0569,99.533,"The night of timeless fire is drawing near
I flee
Throughout the years of throe
Watching through a mirror, as I fall apart
I see a wreck, I'm burning, I'm burning
I see angels burning, falling down in ruins
Looking down I see me, I'm my own enemy
Watching myself decaying, decaying
Falling from high spirits, spirits
I flee
Throughout the ruins of me
Longing for finding my way out
Leaving myself, there's nothing left for me
The ruins are about to crumble down
The flame is dying by shivery winds of jet black skies
It reflects hatred in my eyes
I see angels burning, falling down in ruins
Looking down, I see my ashes scattered around my grave
Angels whispering fire, no longer I'm alive
Settled down, I'm done with the trip to my kingdom come"
17,Bed Of Razors,Children Of Bodom,235866,0.394,0.00115,0.394,0.971,0.54,0.165,-3.104,0.0588,138.702,"Yeah, we're gonna fight
We do it every night
Baby, when you scratch
You know I'm gonna bite
You can make me die
I can make you cry
Opposites attract
That's the reason why
No one else could make you feel
Like I do, I do, I do
No one ever gets as deep inside you
As I do, baby
Our love is a bed of nails
Love hurts good on a bed of nails
I'll lay you down and when all else
Fails
I'll drive you like a hammer on a
Bed of nails
First we're gonna kiss
Then we're gonna say
Dirty little words
Only lovers say
Rockin' through the night
Rollin' on the floor
When they hear us screamin'
They'll be breakin' down the door
No one else could make you feel
Like I do, I do, I do
No one ever gets as deep inside
You
As I do, baby
Our love is a bed of nails
Love hurts good on a bed on nails
I'll lay you down and when all else
Fails
I'll drive you like a hammer on a
Bed of nails
Bed of nails, bed of nails
I'll drive you like a hammer on a
Bed of nails
Ow, ow, ow, ow, ow
Gonna drive you like a hammer
Baby, put me in your slammer, oh
Yeah
No one else could make you feel
Like I do, I do, I do
No one ever gets as deep inside you
As I do, baby
Our love is a bed of nails
Love hurts good on a bed of nails
I'll lay you down and when all else
Fails
I'll drive you like a hammer on a
Bed of nails
Bed of nails, get on my bed of
Nails
I'll drive you like a hammer on a
Bed of nails
Ow, ow, ow, ow, ow
Gonna drive you like a hammer
Baby, put me in your slammer, oh
Yeah
I'll drive you like a hammer on a
Bed of nails
Our love is a bed of nails
Love hurts good on a bed of nails
I'll lay you down and when all else
Fails
Gonna drive you like a hammer
In the Bed of Razors we sleep together forever"
18,Hand of Sorrow,Within Temptation,335680,0.502,0.0223,0.502,0.954,0.000186,0.135,-3.86,0.111,126.934,"The child without a name grew up to be the hand
To watch you, to shield you or kill on demand
The choice he'd made he could not comprehend
His blood a grim secret they had to command
He's torn between his honor and the true love of his life
He prayed for both but was denied
So many dreams were broken and so much was sacrificed
Was it worth the ones we loved and had to leave behind?
So many years have past, who are the noble and the wise?
Will all our sins be justified?
The curse of his powers tormented his life
Obeying the crown was a sinister price
His soul was tortured by love and by pain
He surely would flee but the oath made him stay
He's torn between his honor and the true love of his life
He prayed for both but was denied
So many dreams were broken and so much was sacrificed
Was it worth the ones we loved and had to leave behind?
So many years have past, who are the noble and the wise?
Will all our sins be justified?
Please forgive me for the sorrow, for leaving you in fear
For the dreams we had to silence, that's all they'll ever be
Still I'll be the hand that serves you
Though you'll not see that it is me
So many dreams were broken and so much was sacrificed
Was it worth the ones we loved and had to leave behind?
So many years have past, who are the noble and the wise?
Will all our sins be justified?"
19,Angels,Within Temptation,240440,0.341,0.293,0.341,0.867,0,0.257,-4.727,0.0492,182.023,"Sparkling angel, I believe
You are my saviour in my time of need
Blinded by faith, I couldn't hear
All the whispers, the warning's so clear
I see the angels
I'll lead them to your door
There's no escape now
No mercy no more
No remorse 'cause I still remember
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wish they'd turn into real
You broke the promise
And made me realise
It was all just a lie (just a lie)
Sparkling angel, I couldn't see
Your dark intentions, your feelings for me
Fallen angel, tell me why
What is the reason? The thorn in your eye
I see the angels
I'll lead them to your door
There's no escape now
No mercy no more
No remorse 'cause I still remember
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wish they'd turn into real
You broke the promise
And made me realise
It was all just a lie
Could have been forever
Now we have reached the end
This world may have failed you
It doesn't give the reason why
You could have chosen a different path in life
The smile when you tore me apart
You took my heart
Deceived me right from the start
You showed me dreams
I wished they'd turn into real
You broke a promise
And made me realise
It was all just a lie
Could have been forever
Now we have reached the end"
